nodes,freq
main,7778
__check_one_fd,6720
getgid,6696
fork,6679
kill,6678
getegid,6677
getpid,6670
nanosleep,6670
select,6667
getuid,6652
inet_aton,6644
inet_addr,6643
random,6641
setstate_r,6625
srandom_r,6622
sigaction,6616
setstate,6611
malloc,6608
initstate,6603
mempcpy,6594
open,6592
srandom,6591
initstate_r,6590
geteuid,6589
rand,6588
isatty,6585
socket,6584
memcpy,6582
waitpid,6581
tcgetattr,6578
strtok_r,6571
rawmemchr,6571
strtok,6568
free,6567
__uClibc_main,6560
signal,6557
__pthread_return_0,6555
exit,6549
send,6546
strlen,6543
ioctl,6529
recv,6527
recvLine,6521
connect,6508
write,6504
sleep,6503
close,6501
wait4,6499
fseeko,6490
__stdio_fwrite,6477
sendto,6476
memrchr,6464
connectTimeout,6458
__stdio_trans2w_o,6456
read,6451
__errno_location,6439
initConnection,6438
listFork,6410
_stdio_init,6398
getdtablesize,6386
fputs_unlocked,6383
strstr,6372
_vfprintf_internal,6371
_stdlib_strto_l,6368
__glibc_strerror_r,6366
strerror_r,6360
strcoll,6354
_ppfs_parsespec,6347
time,6343
__stdio_WRITE,6332
processCmd,6321
_ppfs_init,6313
printchar,6296
chdir,6291
strnlen,6277
_fp_out_narrow,6272
fclose,6268
fseeko64,6259
_stdio_fopen,6258
fflush_unlocked,6251
atol,6242
fcntl,6235
__stdio_init_mutex,6234
sigprocmask,6223
fwrite_unlocked,6211
strtol,6205
raise,6193
lseek64,6142
_stdio_term,6131
abort,6126
__stdio_adjust_position,6106
print,6039
_stdio_openlist_dec_use,6016
wcsnrtombs,6004
getOurIP,5993
execl,5979
getrlimit,5955
__syscall_rt_sigaction,5850
matchPrompt,5848
negotiate,5755
getc_unlocked,5698
execve,5688
vfork,5664
fgets,5653
szprintf,5631
memmove,5625
fgets_unlocked,5579
brk,5575
fcntl64,5559
prctl,5463
__read_etc_hosts_r,5461
__open_nameservers,5460
zprintf,5460
inet_pton,5456
gethostbyname_r,5446
__dns_lookup,5444
inet_ntop4,5407
inet_ntop,5389
strdup,5367
strcpy,5363
inet_pton4,5320
__decode_dotted,5312
__encode_dotted,5285
getHost,5245
dup2,5237
poll,5229
strncpy,5215
__stdio_trans2r_o,5214
sigemptyset,5103
__syscall_error,5091
fdpopen,4994
getBuild,4994
__open_etc_hosts,4968
fdpclose,4964
sigaddset,4948
sendUDP,4939
sockprintf,4915
sendTCP,4913
_exit,4897
setsid,4869
socket_connect,4763
readUntil,4715
_fpmaxtostr,4642
trim,4641
gethostbyname,4523
getpagesize,4486
vsnprintf,4304
vfprintf,4258
getsockopt,4256
StartTheLelz,4238
sprintf,4215
system,4192
creat,4097
sendHTTP,4039
tcpcsum,4017
contains_fail,3979
strcasestr,3952
contains_success,3931
sendSTD,3919
read_with_timeout,3905
contains_string,3903
getsockname,3894
bcopy,3883
_promoted_size,3827
setsockopt,3805
pipe,3772
sysconf,3684
getCores,3643
getBogos,3623
printf,3585
getRandomPublicIP,3367
clock_getres,3289
realloc,3053
munmap,3002
mmap,2996
__malloc_consolidate,2899
__socketcall,2510
sendCNC,2500
strcat,2252
usleep,2236
__udivsi3,2215
__aeabi_uidivmod,2212
access,2157
fputs,2145
_uintmaxtostr,2051
printi,2045
feof,2008
sendHOLD,1982
getcwd,1972
sendJUNK,1946
fprintf,1940
_ftext,1784
mremap,1739
herror,1705
hstrerror,1698
botkiller,1636
_fini,1585
ClearHistory,1458
calloc,1420
opendir,1332
closedir,1331
GetRandomPublicIP,1316
getppid,1309
putc_unlocked,1298
__umodsi3,1279
__div0,1279
__modsi3,1276
__fixunsdfsi,1263
fstat,1261
puts,1258
__aeabi_cdcmple,1256
__aeabi_cdrcmple,1256
__aeabi_dcmple,1256
__aeabi_dcmpeq,1256
__aeabi_dcmplt,1256
perror,1245
__getdents64,1244
